name	weight	ranking	foldChange	higherIn	case1	case2	case3	control1	control2	control3
RMI1	0.224927299990031	1	1.25927428506745	case	0.864622012533553	0.951197090728795	0.98795894159784	0.0673441884719516	0.562000852140945	0.611663217389069
CHEBI:46195	0.05089647124223	2	0.456688923466277	case	0.822182194600976	0.625450151917525	0.0650740424646463	0.245676181936889	0.524437187651802	0.268341968826029
WSB2	0.0368338742782433	3	1.50323627110405	case	0.806095983510647	0.993903639578547	0.953827837894086	0.157285874413643	0.0127008682661497	0.930120144061947
RXRA	0	502	0.422572268136739	case	0.999329479025719	0.140873797601841	0.919542206194465	0.300956742633309	0.206764149130446	0.94018128442575
CHEBI:10049	0	502	0.194709670319235	case	0.355407151267881	0.893474311740186	0.64199930552178	0.383884490005655	0.607363956107084	0.591463082475282
FBP1	0	502	-0.381279566006528	control	0.0470777095488339	0.465820073116048	0.105320182975915	0.650748947230908	0.347630325692841	0.000808618205962341
TMEM19	0	502	-0.572342302039478	control	0.213660585120799	0.560856738133542	0.268160913711683	0.817370524039485	0.717737067921327	0.90300644629573
RPS14	0	502	0.121170146676186	case	0.397839124102705	0.494456347383399	0.763843764539584	0.766266219369973	0.0279932951713195	0.682892941698706
UGT2B15	0	502	1.34421839194063	case	0.333668180380295	0.0677854884858151	0.805510155575541	0.374175557582085	0.0668417611778476	0.0738510179919515
NRTN	0	502	-0.417264094325539	control	0.229602531968198	0.897646542373691	0.104252997601917	0.18986247780247	0.927064140870894	0.996384162337222
AKR1E2	0	502	0.61570993825187	case	0.936120177502068	0.288565308881261	0.469758776292843	0.646501755218381	0.0877717606376327	0.314456966367478
SLCO3A1	0	502	0.0227674175802324	case	0.683188784699983	0.269046814753517	0.219061890891174	0.00360530450734453	0.332398561915436	0.809219837628967
TRIB2	0	502	0.951183007927576	case	0.962113795722863	0.594194175430363	0.922707906542724	0.282887905349612	0.526180895421029	0.461450605980961
PARP10	0	502	-0.161784780400583	control	0.437973177632798	0.475879024056308	0.320322632016148	0.638600594751137	0.246642124058313	0.587141467074297
RAB11FIP3	0	502	0.343316635183875	case	0.940336654420907	0.368311038073403	0.857543808780781	0.592074579603645	0.542899456586946	0.477595513339762
PRRC2C	0	502	-0.44453988526962	control	0.00583432457237087	0.6556110904965	0.259846667655122	0.325289204685754	0.780867850604077	0.55245363212413
EID2B	0	502	0.439118780335713	case	0.610307030069875	0.938200405804263	0.878062942706618	0.988951251221728	0.521882381409282	0.175316539083581
NRDC	0	502	-0.0198864345457157	control	0.80107575696612	0.620425185783994	0.188267616829231	0.123235846277873	0.931949933886006	0.587244869016264
CHEBI:16618	0	502	0.228586564504599	case	0.232981533413648	0.282840091614325	0.759193837349818	0.73587698636635	0.147111980322787	0.154801531119142
PICK1	0	502	0.147721579938528	case	0.932468675920979	0.205181251932987	0.0316893001122069	0.156617020109506	0.416765701751856	0.445452550042128
AHNAK	0	502	0.472770573202513	case	0.763262775333742	0.439134081593786	0.642339157082965	0.434647411424697	0.280292866619113	0.537621422723437
CHEBI:58225	0	502	-0.249266513876801	control	0.826449539702682	0.0272502196608165	0.566870912760646	0.832243218102738	0.598100317141488	0.46190011497577
